* made with GMT mapproject command:  -Ju11/1:1e6 -R-120/-114/0/90 -C -F
* Fri Jul 11 10:17:56 CDT 2014
*        xUTM(m)       yUTM(m)      name
> flt.1
         327678.0332         4406115.9856           
> flt.48
         327676.3965         4406105.0689           
         327668.0103         4406076.5110           
> flt.49
         327685.1079         4406148.1439           
         327683.5664         4406142.4278           
> flt.50
         327139.1939         4404972.9060           
         327010.8986         4404779.7056           
         326949.2782         4404693.1039           
         326907.6428         4404664.7918           
         326874.3344         4404638.1452           
         326816.0449         4404613.1639           
         326792.7290         4404603.1714           
         326764.4170         4404599.8406           
         326664.4920         4404564.8669           
         326652.8341         4404571.5285           
         326627.8528         4404561.5360           
> flt.51
         327022.0623         4404705.0844           
         326985.1893         4404697.4200           
         326949.7911         4404693.8248           
> flt.52
         331644.5891         4405563.3395           
         331649.4631         4405572.7164           
         331659.1541         4405611.8394           
         331670.2808         4405661.0122           
         331702.5841         4405783.0470           
> flt.53
         328084.0661         4407591.1878           
         328084.3305         4407594.0590           
         328084.5951         4407596.9305           
         328085.1466         4407599.8043           
         328085.4112         4407602.6758           
         328085.4001         4407604.1105           
         328086.2408         4407606.6995           
         328086.7923         4407609.5733           
         328087.3438         4407612.4470           
         328087.8909         4407615.8947           
         328088.4380         4407619.3423           
         328089.2764         4407622.2183           
         328089.8280         4407625.0920           
         328090.3795         4407627.9658           
         328091.2180         4407630.8418           
         328091.7673         4407634.0025           
         328092.6080         4407636.5915           
         328093.1595         4407639.4653           
         328093.1483         4407640.8999           
         328093.9890         4407643.4890           
         328094.8275         4407646.3650           
         328095.1033         4407647.8019           
         328096.5200         4407650.1085           
         328097.9368         4407652.4151           
         328099.3536         4407654.7217           
         328100.4812         4407657.3130           
         328101.0283         4407660.7606           
         328101.8690         4407663.3497           
         328101.8578         4407664.7843           
         328102.9877         4407667.0887           
         328103.8281         4407669.6774           
         328104.6688         4407672.2665           
         328106.0856         4407674.5731           
         328107.2155         4407676.8774           
         328108.4622         4407678.9071           
         328108.6323         4407679.1840           
         328110.0490         4407681.4906           
         328111.7505         4407684.0864           
         328112.5890         4407686.9624           
         328113.7189         4407689.2668           
         328114.8465         4407691.8581           
         328115.5002         4407693.3603           
> flt.54
         328182.5183         4407845.6156           
         328182.7895         4407846.5459           
         328183.2290         4407848.0534           
         328183.3568         4407848.4916           
         328184.4867         4407850.7960           
         328185.9034         4407853.1026           
         328187.3207         4407855.4099           
         328188.1614         4407857.9990           
         328189.2891         4407860.5903           
         328190.4189         4407862.8946           
         328191.5488         4407865.1990           
         328192.1003         4407868.0727           
         328193.5171         4407870.3793           
         328195.2208         4407872.6882           
         328196.3484         4407875.2795           
         328198.0521         4407877.5883           
         328199.4689         4407879.8949           
         328200.5988         4407882.1993           
         328201.7286         4407884.5036           
         328202.5693         4407887.0927           
         328203.1209         4407889.9665           
         328203.6724         4407892.8402           
         328204.7978         4407895.7185           
         328206.2146         4407898.0251           
         328207.6291         4407900.6186           
         328209.0459         4407902.9252           
         328210.1758         4407905.2296           
         328211.5926         4407907.5362           
         328212.7224         4407909.8405           
         328213.8500         4407912.4318           
         328214.9799         4407914.7362           
         328216.1098         4407917.0406           
         328216.3855         4407918.4774           
         328217.8023         4407920.7840           
         328218.9324         4407923.0887           
         328220.3492         4407925.3953           
         328222.0529         4407927.7042           
         328223.4697         4407930.0108           
         328224.8870         4407932.3181           
         328226.0168         4407934.6224           
         328227.1467         4407936.9268           
         328227.9874         4407939.5159           
         328229.9780         4407941.8269           
         328231.6818         4407944.1358           
         328232.5339         4407945.2905           
         328233.3746         4407947.8796           
         328234.5022         4407950.4709           
         328235.6827         4407952.4736           
         328236.2014         4407953.3536           
> flt.55
         328272.2271         4408003.3635           
         328274.8108         4408006.7392           
         328276.2276         4408009.0458           
         328277.6444         4408011.3524           
         328278.7720         4408013.9437           
         328279.3369         4408015.0959           
         328281.3276         4408017.4069           
         328282.7444         4408019.7135           
         328284.7350         4408022.0246           
         328285.2999         4408023.1768           
         328287.5775         4408025.4901           
         328289.5684         4408027.8015           
         328290.7094         4408028.6712           
         328292.1262         4408030.9778           
         328294.1169         4408033.2889           
         328295.8206         4408035.5977           
         328296.9616         4408036.4674           
         328297.5265         4408037.6196           
         328299.5172         4408039.9307           
         328301.5078         4408042.2417           
         328303.2115         4408044.5506           
         328304.9153         4408046.8594           
         328306.3074         4408048.6783           
         328306.9037         4408049.4574           
> flt.56
         327579.2770         4405827.1245           
         327580.9763         4405830.0072           
         327582.6845         4405831.7422           
         327584.3926         4405833.4771           
         327586.6702         4405835.7905           
         327588.3784         4405837.5254           
         327589.5083         4405839.8298           
         327591.2075         4405842.7125           
         327591.2030         4405843.2863           
         327593.4757         4405846.1728           
         327593.4667         4405847.3205           
         327595.1660         4405850.2032           
         327595.1615         4405850.7771           
         327596.2958         4405852.5076           
         327596.8608         4405853.6598           
         327599.1339         4405856.5469           
         327600.8331         4405859.4296           
         327600.8242         4405860.5773           
         327602.5279         4405862.8862           
         327602.5234         4405863.4600           
         327604.2272         4405865.7689           
         327604.8010         4405865.7733           
         327605.3659         4405866.9255           
         327606.4913         4405869.8037           
         327608.1946         4405872.1119           
         327608.1901         4405872.6858           
         327610.4632         4405875.5729           
         327612.1714         4405877.3079           
         327613.8751         4405879.6167           
         327615.5743         4405882.4994           
         327615.5699         4405883.0733           
         327617.8430         4405885.9604           
         327617.8385         4405886.5343           
         327618.9729         4405888.2648           
         327620.6721         4405891.1475           
         327620.6676         4405891.7213           
         327621.8020         4405893.4519           
         327621.7930         4405894.5996           
         327622.3669         4405894.6040           
         327622.3580         4405895.7518           
         327622.9318         4405895.7562           
         327622.9229         4405896.9039           
         327623.4923         4405897.4823           
         327623.4789         4405899.2038           
         327624.6043         4405902.0821           
         327624.5953         4405903.2298           
         327625.7207         4405906.1080           
         327626.2901         4405906.6863           
